Transaction_ID,Farmer_ID,Buyer_ID,Commodity,Variety,Grade,Quantity,Farmer_District,Buyer_District,Distance_KM,Market_Price,Offered_Price,Final_Price,Transaction_Date,Payment_Status,Transaction_Status,Is_Synthetic,Is_Anomaly,Anomaly_Type
TX-000001,FARMER-754,BUYER-78,Tomato,Desi,Grade A,903.0,Gondal,Ujjain,49.1,31.94,31.17,31.3,2025-08-05,COMPLETED,COMPLETED,True,False,NORMAL
TX-000002,FARMER-833,BUYER-216,Mustard,Black,Grade B,1190.0,Rajkot,Ahmedabad,217.0,55.44,54.26,53.4,2025-06-24,COMPLETED,COMPLETED,True,False,NORMAL
TX-000003,FARMER-467,BUYER-138,Rice,Basmati,Grade B,3985.0,Pune,Gondal,151.4,35.49,36.9,37.2,2025-11-18,COMPLETED,COMPLETED,True,False,NORMAL
TX-000004,FARMER-333,BUYER-247,Rice,Basmati,Grade C,6132.0,Pune,Nashik,209.5,32.96,32.68,32.94,2025-07-06,COMPLETED,COMPLETED,True,False,NORMAL
TX-000005,FARMER-173,BUYER-205,Onion,Garhwa,Grade B,1152.0,Pune,Nashik,214.9,29.32,28.71,29.02,2025-11-24,COMPLETED,COMPLETED,True,False,NORMAL
TX-000006,FARMER-941,BUYER-58,Cotton,Medium Staple,Grade A,1238.0,Agra,Lasalgaon,76.8,78.73,82.53,81.75,2025-09-13,COMPLETED,COMPLETED,True,False,NORMAL
TX-000007,FARMER-674,BUYER-187,Rice,Common,Grade B,6336.0,Pune,Lasalgaon,78.3,35.96,35.04,34.49,2025-03-12,COMPLETED,COMPLETED,True,False,NORMAL
TX-000008,FARMER-911,BUYER-224,Mustard,Pusa Bold,Grade A,1521.0,Indore,Ujjain,52.5,55.8,54.04,54.43,2025-10-11,COMPLETED,COMPLETED,True,False,NORMAL
TX-000009,FARMER-373,BUYER-246,Cotton,BT Cotton,Grade A,1054.0,Rajkot,Nashik,243.8,80.76,83.93,83.25,2026-01-26,COMPLETED,COMPLETED,True,False,NORMAL
TX-000010,FARMER-723,BUYER-100,Onion,White,Grade B,2881.0,Ujjain,Rajkot,161.8,31.73,33.16,33.6,2025-09-08,COMPLETED,COMPLETED,True,False,NORMAL
TX-000011,FARMER-159,BUYER-111,Potato,Jyoti,Grade B,4988.0,Ujjain,Ahmedabad,58.2,20.82,20.45,20.54,2025-09-01,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000012,FARMER-652,BUYER-243,Wheat,Kalyan,Grade A,7965.0,Lasalgaon,Indore,227.9,28.23,27.64,27.74,2025-08-20,COMPLETED,COMPLETED,True,False,NORMAL
TX-000013,FARMER-325,BUYER-51,Potato,Kufri,Grade B,1759.0,Rajkot,Lasalgaon,45.6,22.58,22.84,23.04,2025-05-02,COMPLETED,COMPLETED,True,False,NORMAL
TX-000014,FARMER-690,BUYER-171,Wheat,Sharbati,Grade B,2171.0,Gondal,Pune,107.9,25.1,25.85,26.35,2025-07-30,COMPLETED,COMPLETED,True,False,NORMAL
TX-000015,FARMER-512,BUYER-236,Cotton,BT Cotton,Grade A,1166.0,Indore,Ahmedabad,122.8,78.11,81.41,82.41,2025-05-23,COMPLETED,COMPLETED,True,False,NORMAL
TX-000016,FARMER-200,BUYER-62,Tomato,Local,Grade C,2591.0,Ahmedabad,Pune,136.8,23.56,24.6,24.11,2025-04-20,COMPLETED,COMPLETED,True,False,NORMAL
TX-000017,FARMER-902,BUYER-250,Soyabean,Yellow,Grade B,4325.0,Ujjain,Indore,51.5,47.56,46.26,45.45,2025-06-01,COMPLETED,COMPLETED,True,False,NORMAL
TX-000018,FARMER-151,BUYER-199,Soyabean,NRC-37,Grade C,2578.0,Rajkot,Ujjain,47.6,42.58,41.46,41.3,2025-04-06,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000019,FARMER-683,BUYER-113,Tomato,Desi,Grade A,2075.0,Agra,Ujjain,99.6,31.31,32.23,32.1,2025-05-14,COMPLETED,COMPLETED,True,False,NORMAL
TX-000020,FARMER-407,BUYER-167,Cotton,BT Cotton,Grade A,2674.0,Agra,Gondal,46.1,77.71,76.13,74.82,2025-04-20,COMPLETED,COMPLETED,True,False,NORMAL
TX-000021,FARMER-391,BUYER-90,Soyabean,NRC-37,Grade B,2908.0,Ujjain,Rajkot,176.9,47.11,48.08,47.38,2025-10-11,COMPLETED,COMPLETED,True,False,NORMAL
TX-000022,FARMER-209,BUYER-240,Onion,White,Grade A,1369.0,Lasalgaon,Surat,181.2,32.38,31.85,31.28,2025-05-16,COMPLETED,COMPLETED,True,False,NORMAL
TX-000023,FARMER-949,BUYER-120,Tomato,Local,Grade A,653.0,Nashik,Ahmedabad,193.1,29.49,29.8,30.33,2025-10-10,COMPLETED,COMPLETED,True,False,NORMAL
TX-000024,FARMER-252,BUYER-189,Tomato,Hybrid,Grade B,700.0,Ahmedabad,Rajkot,213.1,26.66,26.08,25.67,2025-01-21,COMPLETED,COMPLETED,True,False,NORMAL
TX-000025,FARMER-995,BUYER-154,Onion,Red,Grade C,4891.0,Ahmedabad,Pune,35.5,25.06,26.03,26.21,2026-01-13,COMPLETED,COMPLETED,True,False,NORMAL
TX-000026,FARMER-354,BUYER-118,Onion,Garhwa,Grade A,4412.0,Indore,Surat,73.9,32.98,34.3,33.92,2025-08-24,COMPLETED,COMPLETED,True,False,NORMAL
TX-000027,FARMER-508,BUYER-134,Rice,Basmati,Grade C,2314.0,Ujjain,Pune,179.5,32.32,31.15,30.85,2025-10-02,COMPLETED,COMPLETED,True,False,NORMAL
TX-000028,FARMER-371,BUYER-59,Potato,Kufri,Grade B,4507.0,Lasalgaon,Pune,163.4,23.01,23.98,23.54,2025-09-19,COMPLETED,COMPLETED,True,False,NORMAL
TX-000029,FARMER-632,BUYER-187,Wheat,Sharbati,Grade B,7632.0,Lasalgaon,Agra,99.1,24.34,24.15,24.06,2025-03-05,COMPLETED,COMPLETED,True,False,NORMAL
TX-000030,FARMER-402,BUYER-191,Onion,Red,Grade B,4726.0,Ahmedabad,Agra,155.2,29.83,28.71,28.63,2025-07-27,COMPLETED,COMPLETED,True,False,NORMAL
TX-000031,FARMER-770,BUYER-132,Soyabean,Yellow,Grade B,1276.0,Indore,Ahmedabad,174.9,45.91,46.74,47.34,2025-05-26,COMPLETED,COMPLETED,True,False,NORMAL
TX-000032,FARMER-788,BUYER-129,Wheat,Lokwan,Grade A,1133.0,Indore,Agra,216.9,27.14,28.18,28.43,2025-02-07,COMPLETED,COMPLETED,True,False,NORMAL
TX-000033,FARMER-509,BUYER-112,Onion,Garhwa,Grade B,4506.0,Gondal,Pune,78.1,29.94,29.06,29.46,2025-12-23,COMPLETED,COMPLETED,True,False,NORMAL
TX-000034,FARMER-920,BUYER-168,Cotton,Medium Staple,Grade B,3017.0,Ujjain,Pune,212.7,72.47,70.58,70.44,2025-10-08,COMPLETED,COMPLETED,True,False,NORMAL
TX-000035,FARMER-960,BUYER-213,Rice,Common,Grade B,2055.0,Indore,Gondal,187.0,36.99,36.6,36.07,2025-05-01,COMPLETED,COMPLETED,True,False,NORMAL
TX-000036,FARMER-810,BUYER-89,Wheat,Lokwan,Grade B,3182.0,Indore,Pune,43.7,25.33,26.27,25.77,2025-08-04,COMPLETED,COMPLETED,True,False,NORMAL
TX-000037,FARMER-689,BUYER-147,Soyabean,JS-335,Grade C,1624.0,Pune,Pune,22.4,40.26,41.19,40.73,2026-01-12,COMPLETED,COMPLETED,True,False,NORMAL
TX-000038,FARMER-129,BUYER-149,Cotton,Long Staple,Grade B,1915.0,Ahmedabad,Indore,232.3,71.71,74.54,75.03,2025-11-15,COMPLETED,COMPLETED,True,False,NORMAL
TX-000039,FARMER-538,BUYER-84,Soyabean,JS-335,Grade A,1954.0,Surat,Indore,101.9,47.42,46.94,46.79,2026-01-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000040,FARMER-581,BUYER-54,Tomato,Hybrid,Grade A,485.0,Rajkot,Rajkot,19.5,29.01,29.73,29.7,2025-04-13,COMPLETED,COMPLETED,True,False,NORMAL
TX-000041,FARMER-323,BUYER-169,Rice,Sona Masoori,Grade A,4447.0,Gondal,Ahmedabad,242.2,38.51,40.08,40.73,2025-02-25,COMPLETED,COMPLETED,True,False,NORMAL
